disease_id,disease_name,category,subcategory,icd10_code,description,pathophysiology,primary_symptoms,secondary_symptoms,all_symptoms,symptom_severity,causal_weight,differential_diagnosis,age_group,gender_bias,risk_factors,common_causes,prevalence,contagious,chronic_or_acute,key_questions,red_flags,urgency_level,specialist_type,recommended_medicines,diet_recommendations,home_remedies,exercise_recommendations,lifestyle_changes,precautions,complications_if_untreated,diagnostic_tests,treatment_approach
D363,Aplastic Anemia,Hematological,Bone Marrow Failure,D61,Rare condition where bone marrow fails to produce enough blood cells.,Underlying pathological mechanism of Aplastic Anemia involves disruption of normal bone marrow failure function through disease-specific pathways.,Key presenting symptoms of Aplastic Anemia|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Aplastic Anemia|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Aplastic Anemia|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Aplastic Anemia|Differential diagnoses in Hematological category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Aplastic Anemia|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Aplastic Anemia|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Aplastic Anemia|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Hematological conditions,Evidence-based treatment for Aplastic Anemia|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Aplastic Anemia|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Aplastic Anemia|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Aplastic Anemia|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Aplastic Anemia|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Aplastic Anemia|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Aplastic Anemia is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Aplastic Anemia|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Aplastic Anemia|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D364,Myelodysplastic Syndrome,Hematological,Bone Marrow,D46,Group of cancers where blood cells in bone marrow do not mature properly.,Underlying pathological mechanism of Myelodysplastic Syndrome involves disruption of normal bone marrow function through disease-specific pathways.,Key presenting symptoms of Myelodysplastic Syndrome|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Myelodysplastic Syndrome|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Myelodysplastic Syndrome|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Myelodysplastic Syndrome|Differential diagnoses in Hematological category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Myelodysplastic Syndrome|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Myelodysplastic Syndrome|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Myelodysplastic Syndrome|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Hematological conditions,Evidence-based treatment for Myelodysplastic Syndrome|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Myelodysplastic Syndrome|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Myelodysplastic Syndrome|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Myelodysplastic Syndrome|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Myelodysplastic Syndrome|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Myelodysplastic Syndrome|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Myelodysplastic Syndrome is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Myelodysplastic Syndrome|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Myelodysplastic Syndrome|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D365,Testicular Cancer,Oncology,Urological Malignancy,C62,Cancer of the testicle most common in young men highly curable.,Underlying pathological mechanism of Testicular Cancer involves disruption of normal urological malignancy function through disease-specific pathways.,Key presenting symptoms of Testicular Cancer|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Testicular Cancer|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Testicular Cancer|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Testicular Cancer|Differential diagnoses in Oncology category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Testicular Cancer|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Testicular Cancer|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Testicular Cancer|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Oncology conditions,Evidence-based treatment for Testicular Cancer|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Testicular Cancer|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Testicular Cancer|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Testicular Cancer|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Testicular Cancer|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Testicular Cancer|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Testicular Cancer is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Testicular Cancer|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Testicular Cancer|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D366,Endometrial Cancer,Oncology,Gynecological Malignancy,C54,Cancer of uterine lining presenting with abnormal vaginal bleeding.,Underlying pathological mechanism of Endometrial Cancer involves disruption of normal gynecological malignancy function through disease-specific pathways.,Key presenting symptoms of Endometrial Cancer|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Endometrial Cancer|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Endometrial Cancer|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Endometrial Cancer|Differential diagnoses in Oncology category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Endometrial Cancer|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Endometrial Cancer|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Endometrial Cancer|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Oncology conditions,Evidence-based treatment for Endometrial Cancer|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Endometrial Cancer|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Endometrial Cancer|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Endometrial Cancer|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Endometrial Cancer|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Endometrial Cancer|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Endometrial Cancer is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Endometrial Cancer|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Endometrial Cancer|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D367,Multiple Myeloma,Oncology,Blood Cancer,C90,Cancer of plasma cells in bone marrow causing bone pain and kidney damage.,Underlying pathological mechanism of Multiple Myeloma involves disruption of normal blood cancer function through disease-specific pathways.,Key presenting symptoms of Multiple Myeloma|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Multiple Myeloma|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Multiple Myeloma|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Multiple Myeloma|Differential diagnoses in Oncology category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Multiple Myeloma|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Multiple Myeloma|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Multiple Myeloma|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Oncology conditions,Evidence-based treatment for Multiple Myeloma|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Multiple Myeloma|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Multiple Myeloma|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Multiple Myeloma|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Multiple Myeloma|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Multiple Myeloma|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Multiple Myeloma is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Multiple Myeloma|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Multiple Myeloma|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D368,Mesothelioma,Oncology,Lung Malignancy,C45,Cancer of pleural lining strongly associated with asbestos exposure.,Underlying pathological mechanism of Mesothelioma involves disruption of normal lung malignancy function through disease-specific pathways.,Key presenting symptoms of Mesothelioma|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Mesothelioma|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Mesothelioma|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Mesothelioma|Differential diagnoses in Oncology category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Mesothelioma|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Mesothelioma|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Mesothelioma|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Oncology conditions,Evidence-based treatment for Mesothelioma|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Mesothelioma|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Mesothelioma|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Mesothelioma|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Mesothelioma|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Mesothelioma|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Mesothelioma is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Mesothelioma|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Mesothelioma|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D369,Nasopharyngeal Cancer,Oncology,Head Neck Cancer,C11,Cancer of the upper throat behind the nose.,Underlying pathological mechanism of Nasopharyngeal Cancer involves disruption of normal head neck cancer function through disease-specific pathways.,Key presenting symptoms of Nasopharyngeal Cancer|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Nasopharyngeal Cancer|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Nasopharyngeal Cancer|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Nasopharyngeal Cancer|Differential diagnoses in Oncology category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Nasopharyngeal Cancer|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Nasopharyngeal Cancer|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Nasopharyngeal Cancer|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Oncology conditions,Evidence-based treatment for Nasopharyngeal Cancer|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Nasopharyngeal Cancer|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Nasopharyngeal Cancer|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Nasopharyngeal Cancer|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Nasopharyngeal Cancer|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Nasopharyngeal Cancer|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Nasopharyngeal Cancer is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Nasopharyngeal Cancer|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Nasopharyngeal Cancer|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D370,Wilms Tumor,Oncology,Pediatric Cancer,C64.9,Kidney cancer in children usually diagnosed before age 5.,Underlying pathological mechanism of Wilms Tumor involves disruption of normal pediatric cancer function through disease-specific pathways.,Key presenting symptoms of Wilms Tumor|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Wilms Tumor|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Wilms Tumor|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Wilms Tumor|Differential diagnoses in Oncology category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Wilms Tumor|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Wilms Tumor|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Wilms Tumor|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Oncology conditions,Evidence-based treatment for Wilms Tumor|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Wilms Tumor|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Wilms Tumor|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Wilms Tumor|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Wilms Tumor|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Wilms Tumor|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Wilms Tumor is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Wilms Tumor|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Wilms Tumor|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D371,Alcoholic Liver Disease,Gastrointestinal,Liver Disease,K70,Liver damage from chronic excessive alcohol consumption.,Underlying pathological mechanism of Alcoholic Liver Disease involves disruption of normal liver disease function through disease-specific pathways.,Key presenting symptoms of Alcoholic Liver Disease|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Alcoholic Liver Disease|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Alcoholic Liver Disease|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Alcoholic Liver Disease|Differential diagnoses in Gastrointestinal category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Alcoholic Liver Disease|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Alcoholic Liver Disease|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Alcoholic Liver Disease|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Gastrointestinal conditions,Evidence-based treatment for Alcoholic Liver Disease|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Alcoholic Liver Disease|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Alcoholic Liver Disease|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Alcoholic Liver Disease|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Alcoholic Liver Disease|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Alcoholic Liver Disease|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Alcoholic Liver Disease is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Alcoholic Liver Disease|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Alcoholic Liver Disease|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D372,Portal Hypertension,Gastrointestinal,Liver Vascular,K76.6,High blood pressure in portal vein system usually from cirrhosis.,Underlying pathological mechanism of Portal Hypertension involves disruption of normal liver vascular function through disease-specific pathways.,Key presenting symptoms of Portal Hypertension|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Portal Hypertension|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Portal Hypertension|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Portal Hypertension|Differential diagnoses in Gastrointestinal category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Portal Hypertension|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Portal Hypertension|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Portal Hypertension|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Gastrointestinal conditions,Evidence-based treatment for Portal Hypertension|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Portal Hypertension|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Portal Hypertension|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Portal Hypertension|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Portal Hypertension|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Portal Hypertension|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Portal Hypertension is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Portal Hypertension|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Portal Hypertension|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D373,Liver Abscess,Gastrointestinal,Liver Infection,K75.0,Collection of pus in liver from bacterial or amoebic infection.,Underlying pathological mechanism of Liver Abscess involves disruption of normal liver infection function through disease-specific pathways.,Key presenting symptoms of Liver Abscess|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Liver Abscess|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Liver Abscess|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Liver Abscess|Differential diagnoses in Gastrointestinal category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Liver Abscess|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Liver Abscess|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Liver Abscess|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Gastrointestinal conditions,Evidence-based treatment for Liver Abscess|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Liver Abscess|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Liver Abscess|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Liver Abscess|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Liver Abscess|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Liver Abscess|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Liver Abscess is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Liver Abscess|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Liver Abscess|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D374,Occupational Asthma,Respiratory,Occupational,J45.0,Asthma caused by workplace exposures to allergens or irritants.,Underlying pathological mechanism of Occupational Asthma involves disruption of normal occupational function through disease-specific pathways.,Key presenting symptoms of Occupational Asthma|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Occupational Asthma|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Occupational Asthma|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Occupational Asthma|Differential diagnoses in Respiratory category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Occupational Asthma|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Occupational Asthma|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Occupational Asthma|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Respiratory conditions,Evidence-based treatment for Occupational Asthma|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Occupational Asthma|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Occupational Asthma|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Occupational Asthma|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Occupational Asthma|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Occupational Asthma|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Occupational Asthma is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Occupational Asthma|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Occupational Asthma|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
D375,Aspergillosis,Respiratory,Fungal Lung,B44,Fungal infection or allergic reaction affecting lungs from Aspergillus.,Underlying pathological mechanism of Aspergillosis involves disruption of normal fungal lung function through disease-specific pathways.,Key presenting symptoms of Aspergillosis|Primary clinical features|Symptoms prompting medical evaluation,Additional symptoms of Aspergillosis|Supporting clinical features|Systemic manifestations if applicable,Complete symptom profile of Aspergillosis|Primary and secondary features|Variable presentation based on severity and stage,Symptom severity varies by stage and individual|Primary features:moderate|May range from mild to severe,Key diagnostic features:0.82|Primary symptoms:0.78|Supporting features:0.68|Risk factors present:0.65,Conditions similar to Aspergillosis|Differential diagnoses in Respiratory category|Conditions requiring exclusion,Varies based on specific condition,Depends on condition specifics,Risk factors for Aspergillosis|Predisposing conditions|Lifestyle and genetic factors,Underlying causes of Aspergillosis|May be multifactorial|Specific etiology based on disease mechanism,Variable prevalence,Depends on specific etiology,Classification depends on disease course,Relevant clinical questions for Aspergillosis|Symptom onset duration and progression|Associated features and risk factors|Previous treatments and response,Warning signs requiring urgent evaluation|Severe or rapidly progressive symptoms|Signs of complications|Indications for emergency care,Based on severity and presentation,Appropriate specialist for Respiratory conditions,Evidence-based treatment for Aspergillosis|First-line therapy per current guidelines|Supportive measures|Specialist-guided management,Dietary considerations for Aspergillosis|Supportive nutrition|Specific dietary modifications based on condition|Adequate hydration and balanced diet,Supportive home measures for Aspergillosis|Rest and self-care|When to seek medical attention|Complementary approaches with medical guidance,Activity recommendations for Aspergillosis|Exercise as tolerated|Modifications based on symptoms|Gradual progression during recovery,Lifestyle modifications for Aspergillosis|Preventive measures|Self-management strategies|Regular medical follow-up,Important precautions for Aspergillosis|Medication adherence|Warning signs to watch for|Regular monitoring recommendations,Potential complications if Aspergillosis is not treated|Disease progression|Organ damage risk|Impact on quality of life,Diagnostic evaluation for Aspergillosis|Laboratory tests|Imaging studies|Specialized investigations as clinically indicated,Comprehensive treatment approach for Aspergillosis|May include medical and surgical options|Multidisciplinary care when indicated|Patient education and follow-up
